timestamp,pkg_temp_c
2026-07-16T18:33:23-07:00,49.0
2026-07-16T18:33:24-07:00,57.0
2026-07-16T18:33:25-07:00,56.0
2026-07-16T18:33:26-07:00,56.0
2026-07-16T18:33:27-07:00,55.0
2026-07-16T18:33:28-07:00,56.0
2026-07-16T18:33:29-07:00,73.0
2026-07-16T18:33:30-07:00,55.0
2026-07-16T18:33:31-07:00,53.0
2026-07-16T18:33:32-07:00,74.0
2026-07-16T18:33:33-07:00,74.0
2026-07-16T18:33:34-07:00,75.0
2026-07-16T18:33:35-07:00,76.0
2026-07-16T18:33:37-07:00,74.0
2026-07-16T18:33:38-07:00,75.0
2026-07-16T18:33:39-07:00,73.0
2026-07-16T18:33:40-07:00,75.0
2026-07-16T18:33:41-07:00,74.0
2026-07-16T18:33:42-07:00,75.0
2026-07-16T18:33:43-07:00,74.0
2026-07-16T18:33:44-07:00,75.0
2026-07-16T18:33:45-07:00,75.0
2026-07-16T18:33:47-07:00,74.0
2026-07-16T18:33:48-07:00,76.0
2026-07-16T18:33:49-07:00,70.0
2026-07-16T18:33:50-07:00,73.0
2026-07-16T18:33:51-07:00,75.0
2026-07-16T18:33:52-07:00,75.0
2026-07-16T18:33:53-07:00,72.0
2026-07-16T18:33:54-07:00,74.0
2026-07-16T18:33:55-07:00,74.0
2026-07-16T18:33:56-07:00,73.0
2026-07-16T18:33:57-07:00,74.0
2026-07-16T18:33:59-07:00,72.0
2026-07-16T18:34:00-07:00,74.0
2026-07-16T18:34:01-07:00,71.0
2026-07-16T18:34:02-07:00,73.0
2026-07-16T18:34:03-07:00,71.0
2026-07-16T18:34:04-07:00,71.0
2026-07-16T18:34:05-07:00,72.0
2026-07-16T18:34:06-07:00,74.0
2026-07-16T18:34:07-07:00,74.0
2026-07-16T18:34:08-07:00,74.0
2026-07-16T18:34:09-07:00,74.0
2026-07-16T18:34:10-07:00,74.0
2026-07-16T18:34:12-07:00,74.0
2026-07-16T18:34:13-07:00,74.0
2026-07-16T18:34:14-07:00,74.0
2026-07-16T18:34:15-07:00,73.0
2026-07-16T18:34:16-07:00,75.0
2026-07-16T18:34:17-07:00,75.0
2026-07-16T18:34:18-07:00,74.0
2026-07-16T18:34:19-07:00,74.0
2026-07-16T18:34:20-07:00,72.0
2026-07-16T18:34:21-07:00,71.0
2026-07-16T18:34:23-07:00,74.0
2026-07-16T18:34:24-07:00,75.0
2026-07-16T18:34:25-07:00,72.0
2026-07-16T18:34:26-07:00,75.0
2026-07-16T18:34:27-07:00,74.0
2026-07-16T18:34:28-07:00,75.0
2026-07-16T18:34:29-07:00,72.0
2026-07-16T18:34:30-07:00,74.0
2026-07-16T18:34:31-07:00,74.0
2026-07-16T18:34:32-07:00,74.0
2026-07-16T18:34:33-07:00,75.0
2026-07-16T18:34:35-07:00,75.0
2026-07-16T18:34:36-07:00,72.0
2026-07-16T18:34:37-07:00,71.0
2026-07-16T18:34:38-07:00,73.0
2026-07-16T18:34:39-07:00,74.0
2026-07-16T18:34:40-07:00,73.0
2026-07-16T18:34:41-07:00,75.0
2026-07-16T18:34:42-07:00,74.0
2026-07-16T18:34:43-07:00,71.0
