timestamp,pkg_temp_c
2026-07-16T18:31:50-07:00,51.0
2026-07-16T18:31:51-07:00,53.0
2026-07-16T18:31:52-07:00,56.0
2026-07-16T18:31:53-07:00,54.0
2026-07-16T18:31:54-07:00,54.0
2026-07-16T18:31:56-07:00,71.0
2026-07-16T18:31:57-07:00,72.0
2026-07-16T18:31:58-07:00,73.0
2026-07-16T18:31:59-07:00,74.0
2026-07-16T18:32:00-07:00,74.0
2026-07-16T18:32:01-07:00,73.0
2026-07-16T18:32:02-07:00,74.0
2026-07-16T18:32:03-07:00,74.0
2026-07-16T18:32:04-07:00,75.0
2026-07-16T18:32:05-07:00,75.0
2026-07-16T18:32:07-07:00,75.0
2026-07-16T18:32:08-07:00,74.0
2026-07-16T18:32:09-07:00,73.0
2026-07-16T18:32:10-07:00,74.0
2026-07-16T18:32:11-07:00,74.0
2026-07-16T18:32:12-07:00,72.0
2026-07-16T18:32:13-07:00,74.0
2026-07-16T18:32:14-07:00,74.0
2026-07-16T18:32:15-07:00,72.0
2026-07-16T18:32:16-07:00,72.0
2026-07-16T18:32:18-07:00,73.0
2026-07-16T18:32:19-07:00,74.0
2026-07-16T18:32:20-07:00,73.0
2026-07-16T18:32:21-07:00,73.0
2026-07-16T18:32:22-07:00,72.0
2026-07-16T18:32:23-07:00,73.0
2026-07-16T18:32:24-07:00,73.0
2026-07-16T18:32:25-07:00,73.0
2026-07-16T18:32:26-07:00,73.0
2026-07-16T18:32:27-07:00,72.0
2026-07-16T18:32:28-07:00,73.0
2026-07-16T18:32:30-07:00,69.0
2026-07-16T18:32:31-07:00,73.0
2026-07-16T18:32:32-07:00,73.0
2026-07-16T18:32:33-07:00,74.0
2026-07-16T18:32:34-07:00,73.0
2026-07-16T18:32:35-07:00,74.0
2026-07-16T18:32:36-07:00,71.0
2026-07-16T18:32:37-07:00,74.0
2026-07-16T18:32:38-07:00,74.0
2026-07-16T18:32:39-07:00,75.0
2026-07-16T18:32:41-07:00,73.0
2026-07-16T18:32:42-07:00,74.0
2026-07-16T18:32:43-07:00,74.0
2026-07-16T18:32:44-07:00,75.0
2026-07-16T18:32:45-07:00,74.0
2026-07-16T18:32:46-07:00,74.0
2026-07-16T18:32:47-07:00,73.0
2026-07-16T18:32:48-07:00,74.0
2026-07-16T18:32:49-07:00,74.0
2026-07-16T18:32:50-07:00,74.0
2026-07-16T18:32:52-07:00,75.0
2026-07-16T18:32:53-07:00,73.0
2026-07-16T18:32:54-07:00,72.0
2026-07-16T18:32:55-07:00,74.0
2026-07-16T18:32:56-07:00,74.0
2026-07-16T18:32:57-07:00,74.0
2026-07-16T18:32:58-07:00,75.0
2026-07-16T18:32:59-07:00,73.0
2026-07-16T18:33:00-07:00,74.0
2026-07-16T18:33:01-07:00,71.0
2026-07-16T18:33:02-07:00,72.0
2026-07-16T18:33:04-07:00,73.0
2026-07-16T18:33:05-07:00,67.0
2026-07-16T18:33:06-07:00,71.0
2026-07-16T18:33:07-07:00,73.0
2026-07-16T18:33:08-07:00,73.0
2026-07-16T18:33:09-07:00,65.0
2026-07-16T18:33:10-07:00,72.0
2026-07-16T18:33:11-07:00,73.0
2026-07-16T18:33:12-07:00,74.0
2026-07-16T18:33:13-07:00,73.0
2026-07-16T18:33:14-07:00,75.0
2026-07-16T18:33:15-07:00,75.0
2026-07-16T18:33:16-07:00,75.0
2026-07-16T18:33:17-07:00,74.0
2026-07-16T18:33:19-07:00,74.0
