timestamp,model,cpu_pct,load1,pkg_temp_c,nvme_temp_c,mem_available_mib,ollama_rss_mib
2026-07-16T18:13:11-07:00,qwen3:4b-instruct,73.95,4.37,74.0,35.9,11594.2,81.6
2026-07-16T18:13:12-07:00,qwen3:4b-instruct,99.01,4.37,75.0,35.9,11593.5,81.6
2026-07-16T18:13:14-07:00,qwen3:4b-instruct,99.00,4.50,74.0,35.9,11593.3,81.6
2026-07-16T18:13:15-07:00,qwen3:4b-instruct,99.25,4.50,70.0,35.9,11592.7,81.6
2026-07-16T18:13:16-07:00,qwen3:4b-instruct,98.74,4.50,72.0,35.9,11592.5,81.6
2026-07-16T18:13:17-07:00,qwen3:4b-instruct,99.50,4.50,70.0,35.9,11592.7,81.6
2026-07-16T18:13:18-07:00,qwen3:4b-instruct,99.75,4.50,75.0,35.9,11592.5,81.6
2026-07-16T18:13:19-07:00,qwen3:4b-instruct,99.75,4.46,74.0,35.9,11592.0,81.6
2026-07-16T18:13:20-07:00,qwen3:4b-instruct,100.00,4.46,74.0,35.9,11582.3,81.6
2026-07-16T18:13:21-07:00,qwen3:4b-instruct,98.51,4.46,73.0,35.9,11548.1,81.6
2026-07-16T18:13:23-07:00,qwen3:4b-instruct,98.76,4.46,74.0,35.9,11546.4,81.6
2026-07-16T18:13:24-07:00,qwen3:4b-instruct,98.51,4.50,71.0,35.9,11575.9,81.6
2026-07-16T18:13:25-07:00,qwen3:4b-instruct,98.51,4.50,65.0,35.9,11578.4,81.6
2026-07-16T18:13:26-07:00,qwen3:4b-instruct,98.51,4.50,75.0,35.9,11577.4,81.6
2026-07-16T18:13:27-07:00,qwen3:4b-instruct,100.00,4.50,74.0,35.9,11577.6,81.6
2026-07-16T18:13:28-07:00,qwen3:4b-instruct,99.75,4.50,71.0,35.9,11530.7,81.6
2026-07-16T18:13:29-07:00,qwen3:4b-instruct,99.02,4.62,72.0,35.9,11528.7,81.6
2026-07-16T18:13:31-07:00,qwen3:4b-instruct,97.99,4.62,73.0,35.9,11572.7,81.6
2026-07-16T18:13:32-07:00,qwen3:4b-instruct,98.76,4.62,74.0,35.9,11575.2,81.6
2026-07-16T18:13:33-07:00,qwen3:4b-instruct,98.75,4.62,74.0,35.9,11580.3,81.6
2026-07-16T18:13:34-07:00,qwen3:4b-instruct,98.25,4.57,71.0,35.9,11579.3,81.6
2026-07-16T18:13:35-07:00,qwen3:4b-instruct,98.75,4.57,75.0,35.9,11580.0,81.6
2026-07-16T18:13:36-07:00,qwen3:4b-instruct,98.76,4.57,72.0,35.9,11580.4,81.6
2026-07-16T18:13:37-07:00,qwen3:4b-instruct,97.26,4.57,74.0,35.9,11580.4,81.6
2026-07-16T18:13:38-07:00,qwen3:4b-instruct,98.50,4.53,75.0,35.9,11579.9,81.6
2026-07-16T18:13:40-07:00,qwen3:4b-instruct,99.25,4.53,75.0,35.9,11580.0,81.6
2026-07-16T18:13:41-07:00,qwen3:4b-instruct,97.51,4.53,62.0,35.9,11579.9,81.6
2026-07-16T18:13:42-07:00,qwen3:4b-instruct,100.00,4.53,76.0,35.9,11580.5,81.6
2026-07-16T18:13:43-07:00,qwen3:4b-instruct,98.51,4.53,76.0,35.9,11581.2,81.6
2026-07-16T18:13:44-07:00,qwen3:4b-instruct,99.00,4.48,76.0,35.9,11581.5,81.6
2026-07-16T18:13:45-07:00,qwen3:4b-instruct,97.03,4.48,77.0,35.9,11581.1,81.6
2026-07-16T18:13:46-07:00,qwen3:4b-instruct,97.51,4.48,74.0,35.9,11580.6,81.6
2026-07-16T18:13:48-07:00,qwen3:4b-instruct,98.00,4.48,74.0,35.9,11581.5,81.6
2026-07-16T18:13:49-07:00,qwen3:4b-instruct,99.75,4.45,77.0,35.9,11581.6,81.6
2026-07-16T18:13:50-07:00,qwen3:4b-instruct,98.26,4.45,74.0,35.9,11581.1,81.6
2026-07-16T18:13:51-07:00,qwen3:4b-instruct,98.75,4.45,75.0,35.9,11581.7,81.6
2026-07-16T18:13:52-07:00,qwen3:4b-instruct,98.75,4.45,74.0,35.9,11581.4,81.6
2026-07-16T18:13:53-07:00,qwen3:4b-instruct,99.00,4.45,76.0,35.9,11580.7,81.6
2026-07-16T18:13:55-07:00,qwen3:4b-instruct,99.50,4.41,76.0,35.9,11579.5,81.6
2026-07-16T18:13:56-07:00,qwen3:4b-instruct,98.51,4.41,74.0,35.9,11579.9,81.6
2026-07-16T18:13:57-07:00,qwen3:4b-instruct,100.00,4.41,73.0,35.9,11579.7,81.6
2026-07-16T18:13:58-07:00,qwen3:4b-instruct,99.00,4.41,75.0,35.9,11579.7,81.6
2026-07-16T18:13:59-07:00,qwen3:4b-instruct,98.75,4.38,75.0,35.9,11579.2,81.6
2026-07-16T18:14:00-07:00,qwen3:4b-instruct,100.00,4.38,73.0,35.9,11578.0,81.6
2026-07-16T18:14:01-07:00,qwen3:4b-instruct,98.25,4.38,73.0,35.9,11577.1,81.6
2026-07-16T18:14:02-07:00,qwen3:4b-instruct,98.50,4.38,75.0,35.9,11577.6,81.6
2026-07-16T18:14:03-07:00,qwen3:4b-instruct,100.00,4.35,75.0,35.9,11577.6,81.6
2026-07-16T18:14:05-07:00,qwen3:4b-instruct,56.68,4.35,52.0,35.9,11576.6,81.6
