timestamp,model,cpu_pct,load1,pkg_temp_c,nvme_temp_c,mem_available_mib,ollama_rss_mib
2026-07-16T18:10:02-07:00,qwen3:0.6b,25.50,0.28,55.0,35.9,14546.7,79.7
2026-07-16T18:10:03-07:00,qwen3:0.6b,18.30,0.28,51.0,35.9,14156.5,78.1
2026-07-16T18:10:04-07:00,qwen3:0.6b,55.75,0.58,66.0,35.9,13614.7,73.3
2026-07-16T18:10:05-07:00,qwen3:0.6b,100.00,0.58,73.0,35.9,13613.3,73.3
2026-07-16T18:10:06-07:00,qwen3:0.6b,100.00,0.58,74.0,35.9,13612.7,73.3
2026-07-16T18:10:07-07:00,qwen3:0.6b,100.00,0.58,74.0,35.9,13612.8,73.3
2026-07-16T18:10:09-07:00,qwen3:0.6b,99.75,0.85,71.0,35.9,13612.8,73.3
2026-07-16T18:10:10-07:00,qwen3:0.6b,95.49,0.85,71.0,35.9,13613.4,73.3
2026-07-16T18:10:11-07:00,qwen3:0.6b,99.50,0.85,70.0,35.9,13613.0,73.3
2026-07-16T18:10:12-07:00,qwen3:0.6b,98.51,0.85,61.0,35.9,13612.7,73.3
2026-07-16T18:10:13-07:00,qwen3:0.6b,96.51,0.85,59.0,35.9,13612.4,73.3
2026-07-16T18:10:14-07:00,qwen3:0.6b,98.25,1.11,70.0,35.9,13613.6,73.3
2026-07-16T18:10:15-07:00,qwen3:0.6b,99.50,1.11,72.0,35.9,13611.5,73.3
2026-07-16T18:10:16-07:00,qwen3:0.6b,30.08,1.11,49.0,35.9,13611.7,73.3
