timestamp,model,cpu_pct,load1,pkg_temp_c,nvme_temp_c,mem_available_mib,ollama_rss_mib
2026-07-16T18:11:31-07:00,qwen3:1.7b,73.68,3.49,63.0,35.9,12823.6,77.5
2026-07-16T18:11:32-07:00,qwen3:1.7b,95.26,3.49,62.0,35.9,12827.9,77.5
2026-07-16T18:11:33-07:00,qwen3:1.7b,97.25,3.49,71.0,35.9,12828.1,77.5
2026-07-16T18:11:34-07:00,qwen3:1.7b,97.50,3.61,73.0,35.9,12827.9,77.5
2026-07-16T18:11:35-07:00,qwen3:1.7b,98.74,3.61,71.0,35.9,12827.2,77.5
2026-07-16T18:11:37-07:00,qwen3:1.7b,98.25,3.61,73.0,35.9,12827.2,77.5
2026-07-16T18:11:38-07:00,qwen3:1.7b,97.76,3.61,70.0,35.9,12827.7,77.5
2026-07-16T18:11:39-07:00,qwen3:1.7b,99.50,3.64,75.0,35.9,12827.2,77.5
2026-07-16T18:11:40-07:00,qwen3:1.7b,99.75,3.64,74.0,35.9,12827.2,77.5
2026-07-16T18:11:41-07:00,qwen3:1.7b,99.00,3.64,70.0,35.9,12827.8,77.5
2026-07-16T18:11:42-07:00,qwen3:1.7b,96.25,3.64,71.0,35.9,12830.8,77.5
2026-07-16T18:11:43-07:00,qwen3:1.7b,95.75,3.67,65.0,35.9,12827.5,77.5
2026-07-16T18:11:44-07:00,qwen3:1.7b,97.24,3.67,72.0,35.9,12827.6,77.5
2026-07-16T18:11:46-07:00,qwen3:1.7b,99.75,3.67,68.0,35.9,12795.1,77.5
2026-07-16T18:11:47-07:00,qwen3:1.7b,99.75,3.67,74.0,35.9,12802.9,77.5
2026-07-16T18:11:48-07:00,qwen3:1.7b,100.00,3.67,72.0,35.9,12801.9,77.5
2026-07-16T18:11:49-07:00,qwen3:1.7b,96.76,3.70,70.0,35.9,12802.1,77.5
2026-07-16T18:11:50-07:00,qwen3:1.7b,25.12,3.70,52.0,35.9,12802.9,77.5
