timestamp,model,cpu_pct,load1,pkg_temp_c,nvme_temp_c,mem_available_mib,ollama_rss_mib
2026-07-16T18:10:17-07:00,qwen3:0.6b,71.64,1.11,64.0,35.9,13608.4,76.3
2026-07-16T18:10:18-07:00,qwen3:0.6b,98.25,1.66,67.0,35.9,13607.8,76.3
2026-07-16T18:10:20-07:00,qwen3:0.6b,94.81,1.66,67.0,35.9,13603.5,76.3
2026-07-16T18:10:21-07:00,qwen3:0.6b,93.23,1.66,65.0,35.9,13605.2,77.5
2026-07-16T18:10:22-07:00,qwen3:0.6b,98.25,1.66,71.0,35.9,13605.2,77.5
2026-07-16T18:10:23-07:00,qwen3:0.6b,94.51,1.66,69.0,35.9,13604.3,77.5
2026-07-16T18:10:24-07:00,qwen3:0.6b,94.24,1.85,58.0,35.9,13602.9,77.5
2026-07-16T18:10:25-07:00,qwen3:0.6b,96.00,1.85,70.0,35.9,13602.8,77.5
2026-07-16T18:10:26-07:00,qwen3:0.6b,4.25,1.85,50.0,35.9,13602.5,77.5
