timestamp,model,cpu_pct,load1,pkg_temp_c,nvme_temp_c,mem_available_mib,ollama_rss_mib
2026-07-16T18:16:14-07:00,phi4-mini,67.42,3.94,73.0,35.9,11645.8,76.7
2026-07-16T18:16:15-07:00,phi4-mini,98.76,3.94,77.0,35.9,11644.7,76.7
2026-07-16T18:16:16-07:00,phi4-mini,98.00,3.94,77.0,35.9,11643.7,76.7
2026-07-16T18:16:17-07:00,phi4-mini,99.75,3.94,77.0,35.9,11643.4,76.7
2026-07-16T18:16:18-07:00,phi4-mini,98.01,3.94,72.0,35.9,11642.9,76.7
2026-07-16T18:16:20-07:00,phi4-mini,98.26,4.03,77.0,35.9,11642.8,76.7
2026-07-16T18:16:21-07:00,phi4-mini,98.75,4.03,74.0,35.9,11643.1,76.7
2026-07-16T18:16:22-07:00,phi4-mini,98.25,4.03,76.0,35.9,11643.2,76.7
2026-07-16T18:16:23-07:00,phi4-mini,99.50,4.03,76.0,35.9,11644.6,76.7
2026-07-16T18:16:24-07:00,phi4-mini,99.50,4.03,72.0,35.9,11644.6,76.7
2026-07-16T18:16:25-07:00,phi4-mini,98.51,4.03,72.0,35.9,11644.4,76.7
2026-07-16T18:16:26-07:00,phi4-mini,99.75,4.03,77.0,35.9,11643.6,76.7
2026-07-16T18:16:28-07:00,phi4-mini,99.50,4.03,77.0,35.9,11643.8,76.7
2026-07-16T18:16:29-07:00,phi4-mini,98.26,4.02,75.0,35.9,11643.6,76.7
2026-07-16T18:16:30-07:00,phi4-mini,98.52,4.02,75.0,35.9,11642.1,76.7
2026-07-16T18:16:31-07:00,phi4-mini,99.50,4.02,75.0,35.9,11642.6,76.7
2026-07-16T18:16:32-07:00,phi4-mini,99.01,4.02,76.0,35.9,11642.6,76.7
2026-07-16T18:16:34-07:00,phi4-mini,99.50,4.02,76.0,35.9,11642.3,76.7
2026-07-16T18:16:35-07:00,phi4-mini,99.50,4.02,77.0,35.9,11642.1,76.7
2026-07-16T18:16:36-07:00,phi4-mini,99.75,4.02,77.0,35.9,11642.6,76.7
2026-07-16T18:16:37-07:00,phi4-mini,98.26,4.02,77.0,35.9,11642.4,76.7
2026-07-16T18:16:38-07:00,phi4-mini,98.76,4.02,76.0,35.9,11641.9,76.7
2026-07-16T18:16:39-07:00,phi4-mini,98.25,4.02,74.0,35.9,11642.4,76.7
2026-07-16T18:16:41-07:00,phi4-mini,99.75,4.02,77.0,35.9,11642.4,76.7
2026-07-16T18:16:42-07:00,phi4-mini,98.51,4.02,71.0,35.9,11641.5,76.7
2026-07-16T18:16:43-07:00,phi4-mini,98.02,4.02,74.0,35.9,11641.4,76.7
2026-07-16T18:16:44-07:00,phi4-mini,99.75,4.02,76.0,35.9,11641.9,76.7
2026-07-16T18:16:45-07:00,phi4-mini,99.50,4.02,74.0,35.9,11642.1,76.7
2026-07-16T18:16:46-07:00,phi4-mini,98.25,4.02,75.0,35.9,11641.6,76.7
2026-07-16T18:16:47-07:00,phi4-mini,98.50,4.02,76.0,35.9,11642.2,76.7
2026-07-16T18:16:49-07:00,phi4-mini,97.01,4.02,76.0,35.9,11642.1,76.7
2026-07-16T18:16:50-07:00,phi4-mini,98.50,4.18,76.0,35.9,11641.4,76.7
2026-07-16T18:16:51-07:00,phi4-mini,98.25,4.18,76.0,35.9,11642.3,76.7
2026-07-16T18:16:52-07:00,phi4-mini,99.50,4.18,74.0,35.9,11643.5,76.7
2026-07-16T18:16:53-07:00,phi4-mini,99.75,4.18,77.0,35.9,11643.2,76.7
2026-07-16T18:16:54-07:00,phi4-mini,98.51,4.16,73.0,35.9,11644.0,76.7
2026-07-16T18:16:55-07:00,phi4-mini,98.76,4.16,75.0,35.9,11644.5,76.7
2026-07-16T18:16:57-07:00,phi4-mini,98.26,4.16,74.0,35.9,11644.1,76.7
2026-07-16T18:16:58-07:00,phi4-mini,99.75,4.16,77.0,35.9,11643.4,76.7
2026-07-16T18:16:59-07:00,phi4-mini,98.51,4.15,76.0,35.9,11643.8,76.7
2026-07-16T18:17:00-07:00,phi4-mini,99.50,4.15,76.0,35.9,11643.1,76.7
2026-07-16T18:17:01-07:00,phi4-mini,96.75,4.15,76.0,35.9,11641.5,76.7
2026-07-16T18:17:02-07:00,phi4-mini,50.75,4.15,52.0,35.9,11644.8,76.7
