timestamp,model,cpu_pct,load1,pkg_temp_c,nvme_temp_c,mem_available_mib,ollama_rss_mib
2026-07-16T18:10:40-07:00,qwen3:1.7b,29.70,2.15,53.0,35.9,14575.7,81.3
2026-07-16T18:10:41-07:00,qwen3:1.7b,19.35,2.15,60.0,35.9,13885.5,82.8
2026-07-16T18:10:42-07:00,qwen3:1.7b,44.00,2.15,72.0,35.9,12854.1,82.9
2026-07-16T18:10:43-07:00,qwen3:1.7b,85.93,2.15,72.0,35.9,12848.7,82.9
2026-07-16T18:10:44-07:00,qwen3:1.7b,100.00,2.30,73.0,35.9,12846.6,82.9
2026-07-16T18:10:45-07:00,qwen3:1.7b,100.00,2.30,77.0,35.9,12846.2,82.9
2026-07-16T18:10:46-07:00,qwen3:1.7b,100.00,2.30,77.0,35.9,12845.8,82.9
2026-07-16T18:10:47-07:00,qwen3:1.7b,100.00,2.30,72.0,35.9,12845.6,82.9
2026-07-16T18:10:49-07:00,qwen3:1.7b,100.00,2.43,72.0,35.9,12843.7,82.9
2026-07-16T18:10:50-07:00,qwen3:1.7b,100.00,2.43,77.0,35.9,12844.2,82.9
2026-07-16T18:10:51-07:00,qwen3:1.7b,100.00,2.43,73.0,35.9,12857.2,83.3
2026-07-16T18:10:52-07:00,qwen3:1.7b,100.00,2.43,73.0,35.9,12855.1,83.3
2026-07-16T18:10:53-07:00,qwen3:1.7b,100.00,2.43,73.0,35.9,12851.5,83.3
2026-07-16T18:10:54-07:00,qwen3:1.7b,100.00,2.72,73.0,35.9,12850.4,83.3
2026-07-16T18:10:55-07:00,qwen3:1.7b,97.76,2.72,73.0,35.9,12849.7,83.3
2026-07-16T18:10:57-07:00,qwen3:1.7b,99.75,2.72,72.0,35.9,12849.4,83.3
2026-07-16T18:10:58-07:00,qwen3:1.7b,98.50,2.72,73.0,35.9,12846.5,83.3
2026-07-16T18:10:59-07:00,qwen3:1.7b,98.50,2.82,74.0,35.9,12843.1,83.3
2026-07-16T18:11:00-07:00,qwen3:1.7b,96.04,2.82,68.0,35.9,12842.5,83.3
2026-07-16T18:11:01-07:00,qwen3:1.7b,99.00,2.82,73.0,35.9,12830.2,83.3
2026-07-16T18:11:02-07:00,qwen3:1.7b,99.75,2.82,72.0,35.9,12832.7,83.3
2026-07-16T18:11:04-07:00,qwen3:1.7b,99.25,3.00,73.0,35.9,12831.8,83.3
2026-07-16T18:11:05-07:00,qwen3:1.7b,97.27,3.00,74.0,35.9,12831.9,83.3
2026-07-16T18:11:06-07:00,qwen3:1.7b,99.75,3.00,76.0,35.9,12831.4,83.3
2026-07-16T18:11:07-07:00,qwen3:1.7b,97.75,3.00,73.0,35.9,12830.8,83.3
2026-07-16T18:11:08-07:00,qwen3:1.7b,98.75,3.08,70.0,35.9,12830.4,83.3
2026-07-16T18:11:09-07:00,qwen3:1.7b,98.51,3.08,71.0,35.9,12830.9,83.3
2026-07-16T18:11:11-07:00,qwen3:1.7b,99.75,3.08,74.0,35.9,12830.9,83.3
2026-07-16T18:11:12-07:00,qwen3:1.7b,74.75,3.08,51.0,35.9,12826.1,83.3
