timestamp,model,cpu_pct,load1,pkg_temp_c,nvme_temp_c,mem_available_mib,ollama_rss_mib
2026-07-16T18:23:29-07:00,qwen3:8b,76.00,4.12,75.0,35.9,8980.1,79.9
2026-07-16T18:23:30-07:00,qwen3:8b,100.00,4.12,75.0,35.9,8980.2,79.9
2026-07-16T18:23:32-07:00,qwen3:8b,99.75,4.12,75.0,35.9,8979.7,79.9
2026-07-16T18:23:33-07:00,qwen3:8b,99.00,4.12,75.0,35.9,8979.7,79.9
2026-07-16T18:23:34-07:00,qwen3:8b,100.00,4.11,76.0,35.9,8980.2,79.9
2026-07-16T18:23:35-07:00,qwen3:8b,99.75,4.11,77.0,35.9,8980.2,79.9
2026-07-16T18:23:36-07:00,qwen3:8b,100.00,4.11,77.0,35.9,8979.7,79.9
2026-07-16T18:23:37-07:00,qwen3:8b,100.00,4.11,77.0,35.9,8979.7,79.9
2026-07-16T18:23:39-07:00,qwen3:8b,98.51,4.11,75.0,35.9,8979.5,79.9
2026-07-16T18:23:40-07:00,qwen3:8b,100.00,4.10,74.0,35.9,8979.0,79.9
2026-07-16T18:23:41-07:00,qwen3:8b,100.00,4.10,76.0,35.9,8979.4,79.9
2026-07-16T18:23:42-07:00,qwen3:8b,98.51,4.10,76.0,35.9,8979.9,79.9
2026-07-16T18:23:43-07:00,qwen3:8b,99.00,4.10,71.0,35.9,8979.4,79.9
2026-07-16T18:23:44-07:00,qwen3:8b,99.75,4.17,76.0,35.9,8979.4,79.9
2026-07-16T18:23:46-07:00,qwen3:8b,99.00,4.17,75.0,35.9,8979.9,79.9
2026-07-16T18:23:47-07:00,qwen3:8b,99.75,4.17,70.0,35.9,8979.9,79.9
2026-07-16T18:23:48-07:00,qwen3:8b,99.00,4.17,76.0,35.9,8979.4,79.9
2026-07-16T18:23:49-07:00,qwen3:8b,100.00,4.16,72.0,35.9,8979.9,79.9
2026-07-16T18:23:50-07:00,qwen3:8b,99.75,4.16,76.0,35.9,8979.7,79.9
2026-07-16T18:23:51-07:00,qwen3:8b,100.00,4.16,75.0,35.9,8979.2,79.9
2026-07-16T18:23:53-07:00,qwen3:8b,100.00,4.16,77.0,35.9,8979.7,79.9
2026-07-16T18:23:54-07:00,qwen3:8b,100.00,4.16,76.0,35.9,8979.7,79.9
2026-07-16T18:23:55-07:00,qwen3:8b,99.75,4.22,76.0,35.9,8979.0,79.9
2026-07-16T18:23:56-07:00,qwen3:8b,100.00,4.22,75.0,35.9,8979.5,79.9
2026-07-16T18:23:57-07:00,qwen3:8b,100.00,4.22,72.0,35.9,8979.3,79.9
2026-07-16T18:23:58-07:00,qwen3:8b,100.00,4.22,76.0,35.9,8978.5,79.9
2026-07-16T18:24:00-07:00,qwen3:8b,100.00,4.21,77.0,35.9,8976.5,79.9
2026-07-16T18:24:01-07:00,qwen3:8b,99.75,4.21,75.0,35.9,8977.0,79.9
2026-07-16T18:24:02-07:00,qwen3:8b,99.25,4.21,74.0,35.9,8978.8,79.9
2026-07-16T18:24:03-07:00,qwen3:8b,99.75,4.21,75.0,35.9,8978.3,79.9
2026-07-16T18:24:04-07:00,qwen3:8b,100.00,4.19,71.0,35.9,8978.8,79.9
2026-07-16T18:24:05-07:00,qwen3:8b,100.00,4.19,72.0,35.9,8978.8,79.9
2026-07-16T18:24:06-07:00,qwen3:8b,100.00,4.19,68.0,35.9,8977.9,79.9
2026-07-16T18:24:07-07:00,qwen3:8b,99.50,4.19,73.0,35.9,8977.6,79.9
2026-07-16T18:24:09-07:00,qwen3:8b,99.75,4.19,74.0,35.9,8978.1,79.9
2026-07-16T18:24:10-07:00,qwen3:8b,100.00,4.17,73.0,35.9,8977.8,79.9
2026-07-16T18:24:11-07:00,qwen3:8b,100.00,4.17,74.0,35.9,8976.8,79.9
2026-07-16T18:24:12-07:00,qwen3:8b,99.25,4.17,74.0,35.9,8977.3,79.9
2026-07-16T18:24:13-07:00,qwen3:8b,100.00,4.17,73.0,35.9,8977.6,79.9
2026-07-16T18:24:14-07:00,qwen3:8b,99.50,4.24,74.0,35.9,8976.7,79.9
2026-07-16T18:24:15-07:00,qwen3:8b,100.00,4.24,76.0,35.9,8976.9,79.9
2026-07-16T18:24:16-07:00,qwen3:8b,99.75,4.24,76.0,35.9,8976.8,79.9
2026-07-16T18:24:18-07:00,qwen3:8b,100.00,4.24,75.0,35.9,8976.3,79.9
2026-07-16T18:24:19-07:00,qwen3:8b,99.26,4.24,77.0,35.9,8976.3,79.9
2026-07-16T18:24:20-07:00,qwen3:8b,98.26,4.38,76.0,35.9,8976.9,79.9
2026-07-16T18:24:21-07:00,qwen3:8b,99.25,4.38,77.0,35.9,8977.4,79.9
2026-07-16T18:24:22-07:00,qwen3:8b,99.00,4.38,76.0,35.9,8977.0,79.9
2026-07-16T18:24:23-07:00,qwen3:8b,98.76,4.38,72.0,35.9,8977.5,79.9
2026-07-16T18:24:25-07:00,qwen3:8b,100.00,4.35,77.0,35.9,8977.5,79.9
2026-07-16T18:24:26-07:00,qwen3:8b,97.77,4.35,76.0,35.9,8976.6,79.9
2026-07-16T18:24:27-07:00,qwen3:8b,99.25,4.35,76.0,35.9,8976.8,79.9
2026-07-16T18:24:28-07:00,qwen3:8b,98.51,4.35,77.0,35.9,8977.4,79.9
