timestamp,pkg_temp_c
2026-07-16T18:37:29-07:00,50.0
2026-07-16T18:37:30-07:00,58.0
2026-07-16T18:37:31-07:00,52.0
2026-07-16T18:37:32-07:00,53.0
2026-07-16T18:37:33-07:00,67.0
2026-07-16T18:37:34-07:00,51.0
2026-07-16T18:37:36-07:00,51.0
2026-07-16T18:37:37-07:00,69.0
2026-07-16T18:37:38-07:00,69.0
2026-07-16T18:37:39-07:00,70.0
2026-07-16T18:37:40-07:00,72.0
2026-07-16T18:37:41-07:00,73.0
2026-07-16T18:37:42-07:00,73.0
2026-07-16T18:37:43-07:00,73.0
2026-07-16T18:37:44-07:00,74.0
2026-07-16T18:37:45-07:00,73.0
2026-07-16T18:37:46-07:00,74.0
2026-07-16T18:37:48-07:00,74.0
2026-07-16T18:37:49-07:00,73.0
2026-07-16T18:37:50-07:00,73.0
2026-07-16T18:37:51-07:00,73.0
2026-07-16T18:37:52-07:00,73.0
2026-07-16T18:37:53-07:00,74.0
2026-07-16T18:37:54-07:00,74.0
2026-07-16T18:37:55-07:00,74.0
2026-07-16T18:37:56-07:00,73.0
2026-07-16T18:37:57-07:00,73.0
2026-07-16T18:37:59-07:00,74.0
2026-07-16T18:38:00-07:00,73.0
2026-07-16T18:38:01-07:00,75.0
2026-07-16T18:38:02-07:00,74.0
2026-07-16T18:38:03-07:00,76.0
2026-07-16T18:38:04-07:00,77.0
2026-07-16T18:38:05-07:00,77.0
2026-07-16T18:38:06-07:00,77.0
2026-07-16T18:38:07-07:00,75.0
2026-07-16T18:38:09-07:00,74.0
2026-07-16T18:38:10-07:00,74.0
2026-07-16T18:38:11-07:00,74.0
2026-07-16T18:38:12-07:00,74.0
2026-07-16T18:38:13-07:00,74.0
2026-07-16T18:38:14-07:00,74.0
2026-07-16T18:38:15-07:00,74.0
2026-07-16T18:38:16-07:00,74.0
2026-07-16T18:38:17-07:00,74.0
2026-07-16T18:38:18-07:00,75.0
2026-07-16T18:38:20-07:00,75.0
2026-07-16T18:38:21-07:00,75.0
2026-07-16T18:38:22-07:00,75.0
2026-07-16T18:38:23-07:00,75.0
2026-07-16T18:38:24-07:00,74.0
2026-07-16T18:38:25-07:00,75.0
2026-07-16T18:38:26-07:00,74.0
2026-07-16T18:38:27-07:00,75.0
2026-07-16T18:38:28-07:00,75.0
2026-07-16T18:38:29-07:00,74.0
2026-07-16T18:38:30-07:00,75.0
2026-07-16T18:38:31-07:00,75.0
2026-07-16T18:38:33-07:00,75.0
2026-07-16T18:38:34-07:00,77.0
2026-07-16T18:38:35-07:00,77.0
2026-07-16T18:38:36-07:00,77.0
2026-07-16T18:38:37-07:00,77.0
2026-07-16T18:38:38-07:00,77.0
2026-07-16T18:38:39-07:00,78.0
2026-07-16T18:38:40-07:00,77.0
2026-07-16T18:38:41-07:00,77.0
2026-07-16T18:38:42-07:00,77.0
2026-07-16T18:38:44-07:00,77.0
2026-07-16T18:38:45-07:00,75.0
2026-07-16T18:38:46-07:00,77.0
2026-07-16T18:38:47-07:00,75.0
2026-07-16T18:38:48-07:00,77.0
2026-07-16T18:38:49-07:00,76.0
2026-07-16T18:38:50-07:00,75.0
2026-07-16T18:38:51-07:00,76.0
2026-07-16T18:38:52-07:00,77.0
2026-07-16T18:38:53-07:00,76.0
2026-07-16T18:38:55-07:00,77.0
2026-07-16T18:38:56-07:00,76.0
2026-07-16T18:38:57-07:00,77.0
2026-07-16T18:38:58-07:00,76.0
2026-07-16T18:38:59-07:00,76.0
2026-07-16T18:39:00-07:00,76.0
2026-07-16T18:39:01-07:00,75.0
2026-07-16T18:39:02-07:00,76.0
2026-07-16T18:39:03-07:00,75.0
2026-07-16T18:39:04-07:00,75.0
2026-07-16T18:39:06-07:00,75.0
2026-07-16T18:39:07-07:00,76.0
2026-07-16T18:39:08-07:00,75.0
2026-07-16T18:39:09-07:00,77.0
2026-07-16T18:39:10-07:00,77.0
2026-07-16T18:39:11-07:00,78.0
2026-07-16T18:39:12-07:00,77.0
2026-07-16T18:39:13-07:00,77.0
2026-07-16T18:39:14-07:00,77.0
2026-07-16T18:39:15-07:00,77.0
2026-07-16T18:39:17-07:00,77.0
2026-07-16T18:39:18-07:00,77.0
2026-07-16T18:39:19-07:00,76.0
2026-07-16T18:39:20-07:00,77.0
2026-07-16T18:39:21-07:00,77.0
2026-07-16T18:39:22-07:00,77.0
2026-07-16T18:39:23-07:00,77.0
2026-07-16T18:39:24-07:00,75.0
2026-07-16T18:39:25-07:00,77.0
2026-07-16T18:39:27-07:00,75.0
2026-07-16T18:39:28-07:00,77.0
2026-07-16T18:39:29-07:00,76.0
2026-07-16T18:39:30-07:00,76.0
2026-07-16T18:39:31-07:00,76.0
2026-07-16T18:39:32-07:00,76.0
2026-07-16T18:39:33-07:00,76.0
2026-07-16T18:39:34-07:00,77.0
2026-07-16T18:39:35-07:00,76.0
2026-07-16T18:39:36-07:00,77.0
2026-07-16T18:39:37-07:00,77.0
2026-07-16T18:39:39-07:00,76.0
2026-07-16T18:39:40-07:00,76.0
2026-07-16T18:39:41-07:00,73.0
2026-07-16T18:39:42-07:00,77.0
2026-07-16T18:39:43-07:00,78.0
2026-07-16T18:39:44-07:00,77.0
2026-07-16T18:39:45-07:00,77.0
2026-07-16T18:39:46-07:00,77.0
2026-07-16T18:39:47-07:00,77.0
2026-07-16T18:39:49-07:00,76.0
2026-07-16T18:39:50-07:00,77.0
2026-07-16T18:39:51-07:00,77.0
2026-07-16T18:39:52-07:00,76.0
2026-07-16T18:39:53-07:00,77.0
2026-07-16T18:39:54-07:00,77.0
2026-07-16T18:39:55-07:00,76.0
2026-07-16T18:39:56-07:00,77.0
2026-07-16T18:39:57-07:00,77.0
2026-07-16T18:39:58-07:00,71.0
2026-07-16T18:40:00-07:00,77.0
2026-07-16T18:40:01-07:00,76.0
2026-07-16T18:40:02-07:00,77.0
2026-07-16T18:40:03-07:00,77.0
2026-07-16T18:40:04-07:00,77.0
2026-07-16T18:40:05-07:00,76.0
2026-07-16T18:40:06-07:00,76.0
2026-07-16T18:40:07-07:00,77.0
2026-07-16T18:40:08-07:00,77.0
2026-07-16T18:40:09-07:00,77.0
2026-07-16T18:40:11-07:00,77.0
2026-07-16T18:40:12-07:00,77.0
2026-07-16T18:40:13-07:00,77.0
2026-07-16T18:40:14-07:00,77.0
2026-07-16T18:40:15-07:00,76.0
2026-07-16T18:40:16-07:00,76.0
2026-07-16T18:40:17-07:00,77.0
2026-07-16T18:40:18-07:00,76.0
2026-07-16T18:40:19-07:00,77.0
2026-07-16T18:40:21-07:00,77.0
2026-07-16T18:40:22-07:00,77.0
2026-07-16T18:40:23-07:00,77.0
2026-07-16T18:40:24-07:00,77.0
2026-07-16T18:40:25-07:00,77.0
2026-07-16T18:40:26-07:00,77.0
2026-07-16T18:40:27-07:00,77.0
2026-07-16T18:40:28-07:00,77.0
2026-07-16T18:40:29-07:00,77.0
2026-07-16T18:40:31-07:00,77.0
2026-07-16T18:40:32-07:00,77.0
2026-07-16T18:40:33-07:00,77.0
2026-07-16T18:40:34-07:00,76.0
2026-07-16T18:40:35-07:00,76.0
2026-07-16T18:40:36-07:00,77.0
2026-07-16T18:40:37-07:00,77.0
2026-07-16T18:40:38-07:00,76.0
2026-07-16T18:40:39-07:00,77.0
2026-07-16T18:40:40-07:00,77.0
2026-07-16T18:40:42-07:00,77.0
2026-07-16T18:40:43-07:00,77.0
2026-07-16T18:40:44-07:00,77.0
2026-07-16T18:40:45-07:00,77.0
2026-07-16T18:40:46-07:00,77.0
2026-07-16T18:40:47-07:00,76.0
2026-07-16T18:40:48-07:00,76.0
2026-07-16T18:40:49-07:00,76.0
2026-07-16T18:40:50-07:00,79.0
2026-07-16T18:40:51-07:00,78.0
2026-07-16T18:40:53-07:00,78.0
2026-07-16T18:40:54-07:00,78.0
2026-07-16T18:40:55-07:00,77.0
2026-07-16T18:40:56-07:00,77.0
2026-07-16T18:40:57-07:00,77.0
2026-07-16T18:40:58-07:00,77.0
2026-07-16T18:40:59-07:00,77.0
2026-07-16T18:41:00-07:00,77.0
2026-07-16T18:41:01-07:00,76.0
2026-07-16T18:41:02-07:00,76.0
2026-07-16T18:41:04-07:00,77.0
2026-07-16T18:41:05-07:00,77.0
2026-07-16T18:41:06-07:00,74.0
2026-07-16T18:41:07-07:00,77.0
2026-07-16T18:41:08-07:00,77.0
2026-07-16T18:41:09-07:00,77.0
2026-07-16T18:41:10-07:00,77.0
2026-07-16T18:41:11-07:00,77.0
2026-07-16T18:41:12-07:00,77.0
2026-07-16T18:41:13-07:00,76.0
2026-07-16T18:41:15-07:00,77.0
2026-07-16T18:41:16-07:00,77.0
2026-07-16T18:41:17-07:00,76.0
2026-07-16T18:41:18-07:00,76.0
2026-07-16T18:41:19-07:00,77.0
2026-07-16T18:41:20-07:00,77.0
2026-07-16T18:41:21-07:00,77.0
2026-07-16T18:41:22-07:00,77.0
2026-07-16T18:41:23-07:00,77.0
2026-07-16T18:41:25-07:00,77.0
2026-07-16T18:41:26-07:00,74.0
2026-07-16T18:41:27-07:00,74.0
2026-07-16T18:41:28-07:00,77.0
2026-07-16T18:41:29-07:00,77.0
2026-07-16T18:41:30-07:00,77.0
2026-07-16T18:41:31-07:00,77.0
2026-07-16T18:41:32-07:00,77.0
2026-07-16T18:41:33-07:00,77.0
2026-07-16T18:41:34-07:00,77.0
2026-07-16T18:41:36-07:00,77.0
2026-07-16T18:41:37-07:00,77.0
2026-07-16T18:41:38-07:00,77.0
2026-07-16T18:41:39-07:00,77.0
2026-07-16T18:41:40-07:00,76.0
2026-07-16T18:41:41-07:00,77.0
2026-07-16T18:41:42-07:00,77.0
2026-07-16T18:41:43-07:00,77.0
2026-07-16T18:41:44-07:00,77.0
2026-07-16T18:41:45-07:00,77.0
2026-07-16T18:41:47-07:00,77.0
2026-07-16T18:41:48-07:00,77.0
2026-07-16T18:41:49-07:00,77.0
2026-07-16T18:41:50-07:00,77.0
2026-07-16T18:41:51-07:00,77.0
2026-07-16T18:41:52-07:00,77.0
2026-07-16T18:41:54-07:00,77.0
2026-07-16T18:41:55-07:00,76.0
2026-07-16T18:41:56-07:00,77.0
2026-07-16T18:41:57-07:00,78.0
2026-07-16T18:41:58-07:00,79.0
2026-07-16T18:41:59-07:00,78.0
2026-07-16T18:42:00-07:00,77.0
2026-07-16T18:42:01-07:00,77.0
2026-07-16T18:42:02-07:00,78.0
2026-07-16T18:42:03-07:00,77.0
2026-07-16T18:42:05-07:00,77.0
2026-07-16T18:42:06-07:00,77.0
2026-07-16T18:42:07-07:00,78.0
2026-07-16T18:42:08-07:00,77.0
2026-07-16T18:42:09-07:00,77.0
2026-07-16T18:42:10-07:00,77.0
2026-07-16T18:42:11-07:00,77.0
2026-07-16T18:42:12-07:00,78.0
2026-07-16T18:42:13-07:00,77.0
2026-07-16T18:42:14-07:00,77.0
2026-07-16T18:42:16-07:00,77.0
2026-07-16T18:42:17-07:00,77.0
2026-07-16T18:42:18-07:00,77.0
2026-07-16T18:42:19-07:00,77.0
2026-07-16T18:42:20-07:00,77.0
2026-07-16T18:42:21-07:00,77.0
2026-07-16T18:42:22-07:00,77.0
2026-07-16T18:42:23-07:00,76.0
2026-07-16T18:42:24-07:00,77.0
2026-07-16T18:42:25-07:00,77.0
2026-07-16T18:42:27-07:00,77.0
2026-07-16T18:42:28-07:00,77.0
2026-07-16T18:42:29-07:00,77.0
2026-07-16T18:42:30-07:00,77.0
2026-07-16T18:42:31-07:00,77.0
2026-07-16T18:42:32-07:00,77.0
2026-07-16T18:42:33-07:00,77.0
2026-07-16T18:42:34-07:00,75.0
2026-07-16T18:42:35-07:00,72.0
2026-07-16T18:42:37-07:00,78.0
2026-07-16T18:42:38-07:00,77.0
2026-07-16T18:42:39-07:00,78.0
2026-07-16T18:42:40-07:00,78.0
2026-07-16T18:42:41-07:00,78.0
2026-07-16T18:42:42-07:00,77.0
2026-07-16T18:42:43-07:00,77.0
2026-07-16T18:42:44-07:00,77.0
2026-07-16T18:42:45-07:00,76.0
2026-07-16T18:42:46-07:00,77.0
2026-07-16T18:42:48-07:00,77.0
2026-07-16T18:42:49-07:00,77.0
2026-07-16T18:42:50-07:00,77.0
2026-07-16T18:42:51-07:00,77.0
2026-07-16T18:42:52-07:00,77.0
2026-07-16T18:42:53-07:00,77.0
2026-07-16T18:42:54-07:00,77.0
2026-07-16T18:42:55-07:00,77.0
2026-07-16T18:42:56-07:00,77.0
2026-07-16T18:42:58-07:00,77.0
2026-07-16T18:42:59-07:00,77.0
2026-07-16T18:43:00-07:00,77.0
2026-07-16T18:43:01-07:00,77.0
2026-07-16T18:43:02-07:00,77.0
2026-07-16T18:43:03-07:00,77.0
2026-07-16T18:43:04-07:00,77.0
2026-07-16T18:43:05-07:00,78.0
2026-07-16T18:43:06-07:00,79.0
2026-07-16T18:43:08-07:00,78.0
2026-07-16T18:43:09-07:00,77.0
2026-07-16T18:43:10-07:00,77.0
2026-07-16T18:43:11-07:00,78.0
2026-07-16T18:43:12-07:00,77.0
