timestamp,phase,cpu_pct,load1,avg_mhz,pkg_temp_c,nvme_temp_c,mem_available_mib
2026-07-16T19:12:18-07:00,idle,0.75,0.04,1866.6,42.0,35.9,14627.7
2026-07-16T19:12:19-07:00,idle,3.70,0.04,2800.0,60.0,35.9,14615.6
2026-07-16T19:12:21-07:00,stress,100.00,0.04,2800.0,66.0,35.9,14611.4
2026-07-16T19:12:22-07:00,stress,100.00,0.36,2800.0,68.0,35.9,14611.1
2026-07-16T19:12:23-07:00,stress,100.00,0.36,2800.0,67.0,35.9,14610.8
2026-07-16T19:12:24-07:00,stress,100.00,0.36,2800.0,68.0,35.9,14610.6
2026-07-16T19:12:25-07:00,stress,100.00,0.36,2800.0,68.0,35.9,14610.1
2026-07-16T19:12:26-07:00,stress,100.00,0.65,2800.0,68.0,35.9,14610.6
2026-07-16T19:12:28-07:00,stress,100.00,0.65,2800.0,69.0,35.9,14611.0
2026-07-16T19:12:29-07:00,stress,100.00,0.65,2800.0,69.0,35.9,14611.4
2026-07-16T19:12:30-07:00,stress,100.00,0.65,2800.0,68.0,35.9,14611.5
2026-07-16T19:12:31-07:00,stress,100.00,0.65,2800.0,69.0,35.9,14610.8
2026-07-16T19:12:32-07:00,stress,100.00,1.08,2800.0,70.0,35.9,14610.2
2026-07-16T19:12:34-07:00,stress,100.00,1.08,2800.0,68.0,35.9,14610.3
2026-07-16T19:12:35-07:00,stress,100.00,1.08,2800.0,70.0,35.9,14609.6
2026-07-16T19:12:36-07:00,stress,100.00,1.08,2800.0,69.0,35.9,14609.0
2026-07-16T19:12:37-07:00,stress,100.00,1.31,2800.0,70.0,35.9,14609.9
2026-07-16T19:12:38-07:00,stress,100.00,1.31,2800.0,70.0,35.9,14609.8
2026-07-16T19:12:39-07:00,stress,100.00,1.31,2800.0,70.0,35.9,14609.9
2026-07-16T19:12:41-07:00,stress,100.00,1.31,2800.0,70.0,35.9,14610.0
2026-07-16T19:12:42-07:00,stress,100.00,1.53,2800.0,70.0,35.9,14612.5
2026-07-16T19:12:43-07:00,stress,100.00,1.53,2800.0,70.0,35.9,14613.0
2026-07-16T19:12:44-07:00,stress,100.00,1.53,2800.0,71.0,35.9,14610.7
2026-07-16T19:12:45-07:00,stress,100.00,1.53,2800.0,70.0,35.9,14610.7
2026-07-16T19:12:47-07:00,stress,100.00,1.72,2800.0,70.0,35.9,14610.7
2026-07-16T19:12:48-07:00,stress,100.00,1.72,2800.0,71.0,35.9,14611.8
2026-07-16T19:12:49-07:00,stress,100.00,1.72,2800.0,71.0,35.9,14612.1
2026-07-16T19:12:50-07:00,stress,100.00,1.72,2800.0,71.0,35.9,14611.4
2026-07-16T19:12:51-07:00,stress,100.00,1.91,2800.0,71.0,35.9,14610.6
2026-07-16T19:12:52-07:00,stress,100.00,1.91,2800.0,71.0,35.9,14610.8
2026-07-16T19:12:54-07:00,stress,100.00,1.91,2800.0,70.0,35.9,14610.9
2026-07-16T19:12:55-07:00,stress,100.00,1.91,2800.0,71.0,35.9,14610.4
2026-07-16T19:12:56-07:00,stress,100.00,1.91,2800.0,70.0,35.9,14610.1
2026-07-16T19:12:57-07:00,stress,100.00,2.16,2800.0,71.0,35.9,14610.4
2026-07-16T19:12:58-07:00,stress,100.00,2.16,2800.0,72.0,35.9,14609.7
2026-07-16T19:12:59-07:00,stress,100.00,2.16,2800.0,71.0,35.9,14609.6
2026-07-16T19:13:01-07:00,stress,100.00,2.16,2800.0,72.0,35.9,14610.1
2026-07-16T19:13:02-07:00,stress,100.00,2.30,2800.0,71.0,35.9,14609.6
2026-07-16T19:13:03-07:00,stress,100.00,2.30,2800.0,73.0,35.9,14609.9
2026-07-16T19:13:04-07:00,stress,100.00,2.30,2800.0,73.0,35.9,14610.2
2026-07-16T19:13:05-07:00,stress,100.00,2.30,2800.0,71.0,35.9,14610.7
2026-07-16T19:13:07-07:00,stress,100.00,2.44,2800.0,73.0,35.9,14610.5
2026-07-16T19:13:08-07:00,stress,100.00,2.44,2800.0,71.0,35.9,14611.1
2026-07-16T19:13:09-07:00,stress,100.00,2.44,2800.0,71.0,35.9,14611.1
2026-07-16T19:13:10-07:00,stress,100.00,2.44,2800.0,72.0,35.9,14610.9
2026-07-16T19:13:11-07:00,stress,100.00,2.56,2800.0,72.0,35.9,14611.4
2026-07-16T19:13:12-07:00,stress,100.00,2.56,2800.0,72.0,35.9,14611.2
2026-07-16T19:13:14-07:00,stress,100.00,2.56,2800.0,72.0,35.9,14610.7
2026-07-16T19:13:15-07:00,stress,100.00,2.56,2800.0,72.0,35.9,14611.0
2026-07-16T19:13:16-07:00,stress,100.00,2.56,2800.0,73.0,35.9,14611.2
