timestamp,cpu_util_percent,load_1m,avg_cpu_mhz,cpu_package_c,tcpu_c,nvme_c,fan_rpm,mem_available_mib,rapl_package_w
2026-07-16T17:44:22-07:00,1.30,0.15,1242.6,43.0,39.0,35.9,,14720.2,
2026-07-16T17:44:27-07:00,1.25,0.14,800.0,44.0,42.0,35.9,,14719.9,
2026-07-16T17:44:32-07:00,1.25,0.12,2666.8,43.0,39.0,35.9,,14720.4,
2026-07-16T17:44:37-07:00,1.05,0.11,800.0,44.0,38.0,35.9,,14721.2,
2026-07-16T17:44:42-07:00,1.44,0.10,800.0,43.0,39.0,35.9,,14721.0,
2026-07-16T17:44:47-07:00,1.44,0.10,800.0,43.0,39.0,35.9,,14720.5,
2026-07-16T17:44:52-07:00,1.44,0.09,800.0,43.0,38.0,35.9,,14719.8,
2026-07-16T17:44:57-07:00,1.34,0.08,800.0,43.0,38.0,35.9,,14719.5,
2026-07-16T17:45:02-07:00,1.44,0.07,800.0,43.0,39.0,35.9,,14719.3,
2026-07-16T17:45:07-07:00,1.00,0.07,800.0,43.0,38.0,35.9,,14717.8,
2026-07-16T17:45:12-07:00,1.24,0.06,1208.2,43.0,37.0,35.9,,14722.1,
2026-07-16T17:45:17-07:00,4.44,0.06,1346.2,43.0,38.0,35.9,,14713.5,
2026-07-16T17:45:22-07:00,8.80,0.05,800.0,43.0,38.0,35.9,,14712.3,
2026-07-16T17:45:27-07:00,8.04,0.05,1171.0,43.0,44.0,35.9,,14715.3,
2026-07-16T17:45:33-07:00,9.69,0.04,799.6,44.0,40.0,35.9,,14699.4,
2026-07-16T17:45:38-07:00,3.45,0.04,1159.8,43.0,40.0,35.9,,14701.4,
2026-07-16T17:45:43-07:00,1.44,0.04,800.0,43.0,41.0,35.9,,14701.1,
2026-07-16T17:45:48-07:00,3.99,0.03,800.0,43.0,39.0,35.9,,14703.6,
2026-07-16T17:45:53-07:00,6.00,0.03,933.3,43.0,39.0,35.9,,14711.1,
2026-07-16T17:45:58-07:00,2.59,0.03,817.0,43.0,42.0,35.9,,14711.7,
2026-07-16T17:46:03-07:00,3.46,0.03,798.5,43.0,44.0,35.9,,14714.0,
2026-07-16T17:46:08-07:00,4.37,0.02,2800.0,43.0,42.0,35.9,,14752.1,
2026-07-16T17:46:13-07:00,1.30,0.02,800.0,43.0,39.0,35.9,,14752.1,
2026-07-16T17:46:18-07:00,1.20,0.02,800.0,43.0,38.0,35.9,,14752.1,
2026-07-16T17:46:23-07:00,1.98,0.02,800.0,43.0,37.0,35.9,,14752.0,
2026-07-16T17:46:28-07:00,1.54,0.02,800.0,43.0,37.0,35.9,,14752.1,
2026-07-16T17:46:33-07:00,2.64,0.01,800.0,43.0,37.0,35.9,,14751.2,
