model,source_revision,gguf_sha256,gguf_bytes,threads,prompt_tokens,generated_tokens,repetitions,prompt_tps,prompt_stddev,generation_tps,generation_stddev,thermal_limit_c,peak_package_c,status,evidence_manifest_sha256,selected
Ling-mini-2.0-IQ4_XS,8be84a0f472797118167aac86b56ca903561a73b,a72d86d4cb4fedd940e34c08d008bb5cda42db80ce5c6bc5f9494e854a3d742d,8803304640,3,128,96,5,4.374630,0.001340,3.091224,0.001523,85,74,clean,7a291a13800fdc6bb5bbd3514a066bb20a443a44e671618411a3e9fa9f62855f,no
Ling-mini-2.0-IQ4_XS,8be84a0f472797118167aac86b56ca903561a73b,a72d86d4cb4fedd940e34c08d008bb5cda42db80ce5c6bc5f9494e854a3d742d,8803304640,4,128,96,5,5.816750,0.003602,4.083152,0.009518,90,85,clean,95c8111f9e9499001d1a594b1c770d24bc9e3f637a277cc4b4942d5092d978c1,yes
