artifact,sha256,mode,threads,batch_size,ubatch_size,prompt_tokens,generated_tokens,repetitions,prompt_tok_s,prompt_stddev,generation_tok_s,generation_stddev,peak_package_c,status
bitcpm4-1b-tq2_0.gguf,2394c15cbea2181b72bfb4215d8417d8d1f2f6214069da2d01fde32ce3b13fce,pure-cpu,4,512,512,128,96,5,13.013333,0.035933,8.584061,0.029317,76,clean
gemma3-4b-text-only-derived.gguf,510408e8043ca1c741fe9a16088d47e8fa0d016033c6acf0c50c50c7c93b6530,pure-cpu,4,512,512,128,96,5,2.171698,0.001368,1.624096,0.003291,81,clean
