build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,load_mode,embeddings,no_op_offload,no_host,fit_target,fit_min_ctx,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"9a286ac","1","Intel(R) Celeron(R) N5095 @ 2.00GHz","Intel(R) UHD Graphics (JSL)","Vulkan","models/bitcpm4-1b-tq2_0.gguf","llama 3B TQ2_0 - 2.06 bpw ternary","549095040","1622165504","2048","512","4","0x0","0","50","f16","f16","0","0","layer","0","0","-1","auto","0.00","none","auto","0","0","0","0","0","128","0","0","2026-08-24T04:19:47Z","9624471201","13189572","13.299444","0.018225"
"9a286ac","1","Intel(R) Celeron(R) N5095 @ 2.00GHz","Intel(R) UHD Graphics (JSL)","Vulkan","models/bitcpm4-1b-tq2_0.gguf","llama 3B TQ2_0 - 2.06 bpw ternary","549095040","1622165504","2048","512","4","0x0","0","50","f16","f16","0","0","layer","0","0","-1","auto","0.00","none","auto","0","0","0","0","0","0","96","0","2026-08-24T04:20:16Z","11125557701","28027690","8.628808","0.021738"
